condition,seed,rate_ms,zeroed,ep_seed,win,draw,steps,n_messages,window_open_frac
A,2,250,0,5200294,1,0,104,21,0.9523809523809523
A,2,250,0,5200295,1,0,116,24,1.0
A,2,250,0,5200288,1,0,156,32,0.75
A,2,250,0,5200289,1,0,94,19,0.9473684210526315
A,2,250,0,5200290,1,0,111,23,1.0
A,2,250,0,5200291,1,0,120,24,0.9166666666666666
A,2,250,0,5200300,1,0,138,28,1.0
A,2,250,0,5200301,1,0,124,25,0.8
A,2,250,0,5200302,1,0,109,22,0.9545454545454546
A,2,250,0,5200303,1,0,97,20,1.0
A,2,250,0,5200268,1,0,127,26,0.8076923076923077
A,2,250,0,5200269,1,0,145,29,0.7931034482758621
A,2,250,0,5200270,1,0,296,60,0.7666666666666667
A,2,250,0,5200271,1,0,94,19,0.8421052631578947
A,2,250,0,5200296,1,0,165,33,0.8484848484848485
A,2,250,0,5200297,1,0,158,32,0.78125
A,2,250,0,5200298,0,0,182,37,0.8918918918918919
A,2,250,0,5200299,1,0,156,32,0.6875
A,2,250,0,5200304,1,0,92,19,0.8947368421052632
A,2,250,0,5200305,1,0,123,25,0.88
A,2,250,0,5200306,1,0,119,24,0.9166666666666666
A,2,250,0,5200307,1,0,117,24,0.9583333333333334
A,2,250,0,5200312,1,0,115,23,1.0
A,2,250,0,5200313,1,0,125,25,0.96
A,2,250,0,5200314,1,0,70,14,0.7857142857142857
A,2,250,0,5200315,1,0,89,18,1.0
A,2,250,0,5200320,1,0,123,25,0.88
A,2,250,0,5200321,1,0,69,14,0.7142857142857143
A,2,250,0,5200322,1,0,122,25,0.96
A,2,250,0,5200323,1,0,60,12,0.75
A,2,250,0,5200316,1,0,116,24,0.9166666666666666
A,2,250,0,5200317,1,0,167,34,0.6764705882352942
A,2,250,0,5200318,1,0,118,24,0.75
A,2,250,0,5200319,1,0,111,23,0.7391304347826086
A,2,250,0,5200328,1,0,138,28,0.75
A,2,250,0,5200329,1,0,65,13,0.8461538461538461
A,2,250,0,5200330,1,0,117,24,0.9583333333333334
A,2,250,0,5200331,1,0,69,14,0.9285714285714286
A,2,250,0,5200308,1,0,166,34,0.9117647058823529
A,2,250,0,5200309,1,0,116,24,0.8333333333333334
A,2,250,0,5200310,1,0,323,65,0.8923076923076924
A,2,250,0,5200311,1,0,109,22,0.9545454545454546
A,2,250,0,5200332,0,0,226,46,1.0
A,2,250,0,5200333,1,0,63,13,0.8461538461538461
A,2,250,0,5200334,1,0,73,15,1.0
A,2,250,0,5200335,1,0,103,21,0.8571428571428571
A,2,250,0,5200324,1,0,113,23,0.8695652173913043
A,2,250,0,5200325,1,0,118,24,0.9583333333333334
A,2,250,0,5200326,0,0,138,28,0.8571428571428571
A,2,250,0,5200327,1,0,226,46,0.9565217391304348
A,2,250,0,5200336,1,0,108,22,0.9545454545454546
A,2,250,0,5200337,1,0,73,15,1.0
A,2,250,0,5200338,1,0,192,39,0.8717948717948718
A,2,250,0,5200339,1,0,108,22,1.0
A,2,250,0,5200344,1,0,86,18,1.0
A,2,250,0,5200345,1,0,78,16,0.6875
A,2,250,0,5200346,1,0,111,23,0.9565217391304348
A,2,250,0,5200347,1,0,146,30,0.9
A,2,250,0,5200340,1,0,79,16,0.9375
A,2,250,0,5200341,1,0,212,43,0.8372093023255814
A,2,250,0,5200342,1,0,97,20,1.0
A,2,250,0,5200343,1,0,124,25,0.84
A,2,250,0,5200284,0,1,600,120,0.9166666666666666
A,2,250,0,5200285,1,0,103,21,1.0
A,2,250,0,5200286,1,0,51,11,1.0
A,2,250,0,5200287,1,0,160,32,0.84375
A,2,250,0,5200352,1,0,112,23,0.8695652173913043
A,2,250,0,5200353,1,0,145,29,0.7586206896551724
A,2,250,0,5200354,1,0,66,14,0.9285714285714286
A,2,250,0,5200355,1,0,122,25,1.0
A,2,250,0,5200360,1,0,100,20,0.8
A,2,250,0,5200361,1,0,108,22,1.0
A,2,250,0,5200362,1,0,126,26,0.8846153846153846
A,2,250,0,5200363,1,0,100,20,0.95
A,2,250,0,5200356,1,0,131,27,1.0
A,2,250,0,5200357,1,0,124,25,0.92
